league,season,team,metric_name,metric_real,metric_skill,metric_luck,q_skill,luck_share
NFL,2011,all,upset_frequency,0.2539,0.0156,0.4297,0.4245,0.5755
NFL,2012,all,upset_frequency,0.2734,0.0195,0.3711,0.2779,0.7221
NFL,2013,all,upset_frequency,0.3125,0.0078,0.3711,0.1613,0.8387
NFL,2014,all,upset_frequency,0.2305,0.0195,0.3438,0.3494,0.6506
NFL,2015,all,upset_frequency,0.2969,0.0039,0.3672,0.1935,0.8065
NFL,2016,all,upset_frequency,0.2695,0.0117,0.3555,0.2501,0.7499
NFL,2017,all,upset_frequency,0.2461,0.0117,0.3984,0.3938,0.6062
NFL,2018,all,upset_frequency,0.2852,0.0312,0.3711,0.2527,0.7473
NFL,2019,all,upset_frequency,0.2656,0.0117,0.3906,0.3299,0.6701
NFL,2020,all,upset_frequency,0.2383,0.0195,0.3438,0.3253,0.6747
NFL,2021,all,upset_frequency,0.2831,0.0147,0.3713,0.2473,0.7527
NFL,2022,all,upset_frequency,0.3026,0.0332,0.3801,0.2234,0.7766
NFL,2023,all,upset_frequency,0.3088,0.0404,0.4118,0.2773,0.7227
NFL,2024,all,upset_frequency,0.2206,0.0221,0.3199,0.3334,0.6666
MLB,all,all,std_win_rate,0.0717294565027411,0.3127044906412354,0.0405429591264827,0.1146,0.8854
NBA,all,all,std_win_rate,0.1497403728810377,0.304085330908645,0.0552011327451091,0.3799,0.6201
NFL,all,all,std_win_rate,0.1954176658191345,0.3195925140676595,0.127766259008017,0.3527,0.6473
